"id","year","product_name","company","country","industry_group","weight_kg","carbon_footprint_pcf","upstream_percent_total_pcf","operations_percent_total_pcf","downstream_percent_total_pcf"
"10056-1-2014","2014","Frosted Flakes(R) Cereal","Kellogg Company","USA","Food, Beverage & Tobacco","0.7485","2.0","57.50%","30.00%","12.50%"
"10056-1-2015","2015","Frosted Flakes, 23 oz, produced in Lancaster, PA (one carton)","Kellogg Company","USA","Food & Beverage Processing","0.7485","2.0","57.50%","30.00%","12.50%"
"10222-1-2013","2013","Office Chair","KNOLL INC","USA","Capital Goods","20.68","72.54","80.63%","17.36%","2.01%"
"10261-1-2017","2017","Multifunction Printers","Konica Minolta, Inc.","Japan","Technology Hardware & Equipment","110.0","1488.0","30.65%","5.51%","63.84%"
"10261-2-2017","2017","Multifunction Printers","Konica Minolta, Inc.","Japan","Technology Hardware & Equipment","110.0","1818.0","25.08%","4.51%","70.41%"
"10261-3-2017","2017","Multifunction Printers","Konica Minolta, Inc.","Japan","Technology Hardware & Equipment","110.0","2274.0","20.05%","3.61%","76.34%"
"10324-1-2016","2016","KURALON  fiber","Kuraray Co., Ltd.","Japan","Materials","1500.0","10000.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10418-1-2013","2013","Portland Cement","Lafarge S.A.","France","Materials","1000.0","1102.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-10-2014","2014","Regular Straight 505® Jeans – Steel (Water<Less™)","Levi Strauss & Co.","USA","Consumer Durables & Apparel","0.7665","15.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-10-2015","2015","Regular Straight 505® Jeans – Steel (Water<Less™)","Levi Strauss & Co.","USA","Textiles, Apparel, Footwear and Luxury Goods","0.7665","15.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-10-2016","2016","Regular Straight 505® Jeans – Steel (Water<Less™)","Levi Strauss & Co.","USA","Consumer Durables & Apparel","0.7665","15.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-11-2014","2014","501® Original Jeans – Rinse Run","Levi Strauss & Co.","USA","Consumer Durables & Apparel","0.997","15.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-11-2015","2015","501® Original Jeans – Rinse Run","Levi Strauss & Co.","USA","Textiles, Apparel, Footwear and Luxury Goods","0.997","16.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-1-2014","2014","501® Original Jeans – Dark Stonewash","Levi Strauss & Co.","USA","Consumer Durables & Apparel","0.997","16.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-1-2015","2015","501® Original Jeans – Dark Stonewash","Levi Strauss & Co.","USA","Textiles, Apparel, Footwear and Luxury Goods","0.997","16.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-1-2016","2016","501® Original Jeans – Dark Stonewash","Levi Strauss & Co.","USA","Consumer Durables & Apparel","0.997","16.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-2-2014","2014","Slim Straight 514™ Jeans – Indigo Wash","Levi Strauss & Co.","USA","Consumer Durables & Apparel","0.68","8.6","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-2-2015","2015","Slim Straight 514™ Jeans – Indigo Wash","Levi Strauss & Co.","USA","Textiles, Apparel, Footwear and Luxury Goods","0.68","8.6","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10661-2-2016","2016","Slim Straight 514™ Jeans – Indigo Wash","Levi Strauss & Co.","USA","Consumer Durables & Apparel","0.88","8.6","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
